Android_time,Stonex_gnss_time,Delta_Android-Stonex,Stonex_status,Stonex_time_check
2023-04-26 17:01:17.088,2023-04-26 17:01:16.8,288,1,15+1+16.8
2023-04-26 17:01:17.29,2023-04-26 17:01:17.0,290,1,15+1+17.0
2023-04-26 17:01:17.48,2023-04-26 17:01:17.0,480,1,15+1+17.0
2023-04-26 17:01:17.48,2023-04-26 17:01:17.0,480,1,15+1+17.0
2023-04-26 17:01:17.649,2023-04-26 17:01:17.2,449,1,15+1+17.2
2023-04-26 17:01:17.649,2023-04-26 17:01:17.4,249,1,15+1+17.4
2023-04-26 17:01:17.888,2023-04-26 17:01:17.6,288,1,15+1+17.6
2023-04-26 17:01:18.068,2023-04-26 17:01:17.8,268,1,15+1+17.8
2023-04-26 17:01:18.385,2023-04-26 17:01:18.0,385,1,15+1+18.0
2023-04-26 17:01:18.414,2023-04-26 17:01:18.0,414,1,15+1+18.0
2023-04-26 17:01:18.414,2023-04-26 17:01:18.0,414,1,15+1+18.0
2023-04-26 17:01:18.494,2023-04-26 17:01:18.2,294,1,15+1+18.2
2023-04-26 17:01:18.728,2023-04-26 17:01:18.4,328,1,15+1+18.4
2023-04-26 17:01:18.922,2023-04-26 17:01:18.6,322,1,15+1+18.6
2023-04-26 17:01:19.087,2023-04-26 17:01:18.8,287,1,15+1+18.8
2023-04-26 17:01:19.301,2023-04-26 17:01:19.0,301,1,15+1+19.0
2023-04-26 17:01:19.301,2023-04-26 17:01:19.0,301,1,15+1+19.0
2023-04-26 17:01:19.301,2023-04-26 17:01:19.0,301,1,15+1+19.0
2023-04-26 17:01:19.395,2023-04-26 17:01:19.2,195,1,15+1+19.2
2023-04-26 17:01:19.628,2023-04-26 17:01:19.4,228,1,15+1+19.4
2023-04-26 17:01:19.834,2023-04-26 17:01:19.6,234,1,15+1+19.6
2023-04-26 17:01:19.994,2023-04-26 17:01:19.8,194,1,15+1+19.8
2023-04-26 17:01:20.257,2023-04-26 17:01:20.0,257,1,15+1+20.0
2023-04-26 17:01:20.257,2023-04-26 17:01:20.0,257,1,15+1+20.0
2023-04-26 17:01:20.257,2023-04-26 17:01:20.0,257,1,15+1+20.0
2023-04-26 17:01:20.625,2023-04-26 17:01:20.4,225,1,15+1+20.4
2023-04-26 17:01:20.833,2023-04-26 17:01:20.6,233,1,15+1+20.6
2023-04-26 17:01:21.044,2023-04-26 17:01:20.8,244,1,15+1+20.8
2023-04-26 17:01:21.63,2023-04-26 17:01:21.0,630,1,15+1+21.0
2023-04-26 17:01:21.696,2023-04-26 17:01:21.0,696,1,15+1+21.0
2023-04-26 17:01:21.696,2023-04-26 17:01:21.0,696,1,15+1+21.0
2023-04-26 17:01:21.728,2023-04-26 17:01:21.2,528,1,15+1+21.2
2023-04-26 17:01:21.827,2023-04-26 17:01:21.6,227,1,15+1+21.6
2023-04-26 17:01:22.093,2023-04-26 17:01:21.8,293,1,15+1+21.8
2023-04-26 17:01:22.232,2023-04-26 17:01:22.0,232,1,15+1+22.0
2023-04-26 17:01:22.363,2023-04-26 17:01:22.0,363,1,15+1+22.0
2023-04-26 17:01:22.394,2023-04-26 17:01:22.0,394,1,15+1+22.0
2023-04-26 17:01:22.504,2023-04-26 17:01:22.2,304,1,15+1+22.2
2023-04-26 17:01:22.66,2023-04-26 17:01:22.4,260,1,15+1+22.4
2023-04-26 17:01:22.86,2023-04-26 17:01:22.6,260,1,15+1+22.6
2023-04-26 17:01:23.066,2023-04-26 17:01:22.8,266,1,15+1+22.8
2023-04-26 17:01:23.334,2023-04-26 17:01:23.0,334,1,15+1+23.0
2023-04-26 17:01:23.334,2023-04-26 17:01:23.0,334,1,15+1+23.0
2023-04-26 17:01:23.372,2023-04-26 17:01:23.0,372,1,15+1+23.0
2023-04-26 17:01:23.635,2023-04-26 17:01:23.4,235,1,15+1+23.4
2023-04-26 17:01:23.867,2023-04-26 17:01:23.6,267,1,15+1+23.6
2023-04-26 17:01:24.103,2023-04-26 17:01:23.8,303,1,15+1+23.8
2023-04-26 17:01:24.268,2023-04-26 17:01:24.0,268,1,15+1+24.0
2023-04-26 17:01:24.268,2023-04-26 17:01:24.0,268,1,15+1+24.0
2023-04-26 17:01:24.268,2023-04-26 17:01:24.0,268,1,15+1+24.0
2023-04-26 17:01:24.635,2023-04-26 17:01:24.4,235,1,15+1+24.4
2023-04-26 17:01:24.902,2023-04-26 17:01:24.6,302,1,15+1+24.6
2023-04-26 17:01:25.076,2023-04-26 17:01:24.8,276,1,15+1+24.8
2023-04-26 17:01:25.27,2023-04-26 17:01:25.0,270,1,15+1+25.0
2023-04-26 17:01:25.303,2023-04-26 17:01:25.0,303,1,15+1+25.0
2023-04-26 17:01:25.303,2023-04-26 17:01:25.0,303,1,15+1+25.0
2023-04-26 17:01:25.442,2023-04-26 17:01:25.2,242,1,15+1+25.2
2023-04-26 17:01:25.708,2023-04-26 17:01:25.4,308,1,15+1+25.4
2023-04-26 17:01:25.843,2023-04-26 17:01:25.6,243,1,15+1+25.6
